Date,Machine_ID,Retailer_ID,Terminal_ID,termType,Chain_ID,TMID,Location_City,Zip,Scratchers_Sales,Out_of_Stock__
7/13/2019,18192_3,18192,3,PHD,8128,209,C,85999,1203,0.1
7/13/2019,35016_2,35016,2,PHD,8011,107,C,85997,1679,0.0133
7/13/2019,40212_2,40212,2,PHD,8128,101,A,86883,738,0.0418
7/13/2019,45189_3,45189,3,PHD,8128,101,A,86883,426,0.0007
7/13/2019,52290_3,52290,3,PHD,8052,101,A,86880,663,0.0263
7/13/2019,61747_3,61747,3,PHD,8011,101,A,86880,659,0.0296
7/13/2019,65637_2,65637,2,PHD-LP,8022,101,A,86880,0,1
7/13/2019,65765_2,65765,2,PHD-LP,8022,302,B,85965,0,1
7/13/2019,65783_2,65783,2,PHD,0,209,C,85999,207,0
7/13/2019,65815_3,65815,3,PHD-LP,8022,209,C,85999,0,0
7/14/2019,10488_2,10488,2,PHD,8128,101,A,86880,997,0.0355
7/14/2019,10504_2,10504,2,PHD,8128,101,A,86883,666,0.0001
7/14/2019,11198_2,11198,2,PHD,8052,302,B,85965,1094,0.0224
7/14/2019,11800_3,11800,3,PHD,9849,209,C,85998,743,0.1422
7/14/2019,11847_4,11847,4,PHD,0,107,C,85998,156,0
7/14/2019,12795_3,12795,3,PHD,0,209,C,85998,1261,0.0013
7/14/2019,14881_2,14881,2,PHD,8128,302,B,85965,908,0.0283
7/14/2019,15155_3,15155,3,PHD,0,107,C,85999,370,0
7/14/2019,15159_2,15159,2,PHD,8052,209,C,85998,1573,0
7/14/2019,15159_3,15159,3,PHD,8052,209,C,85998,1828,0.0262
7/14/2019,15384_2,15384,2,PHD-LP,8022,101,A,86883,0,0.25
7/14/2019,15490_2,15490,2,PHD,0,101,A,86884,146,0.0069
7/14/2019,16570_2,16570,2,PHD,8011,101,A,86881,310,0
7/14/2019,18192_3,18192,3,PHD,8128,209,C,85999,0,0.125
7/14/2019,35016_2,35016,2,PHD,8011,107,C,85997,657,0
7/14/2019,40212_2,40212,2,PHD,8128,101,A,86883,664,0.0199
7/14/2019,45189_3,45189,3,PHD,8128,101,A,86883,327,0
7/14/2019,52290_3,52290,3,PHD,8052,101,A,86880,1140,0
7/14/2019,61747_3,61747,3,PHD,8011,101,A,86880,383,0.0117
7/14/2019,65637_2,65637,2,PHD-LP,8022,101,A,86880,0,1
7/14/2019,65765_2,65765,2,PHD-LP,8022,302,B,85965,0,1
7/14/2019,65783_2,65783,2,PHD,0,209,C,85999,0,0
